"id","strategy_name","symbol","exchange","type","entry_price","exit_price","qty","fee","size","PNL","PNL_percentage","holding_period","opened_at","closed_at"
"3c1e1850-4d0e-4a69-8c8f-abe4914ac33b","FractalGeneticOptimization","BTC-USDT","Binance","long","20960.17","21112.91774325416","0.402","16.913381272788172","8425.98834","44.49121151538416","0.5280236539632354","10860.0","1674207900000.0","1674218760000.0"
"31489d8c-278a-4841-aa20-6e1ad6f66fd4","FractalGeneticOptimization","BTC-USDT","Binance","short","21341.7","21487.08499646551","0.397","17.00302764359681","8472.654900000001","-74.72087124040395","-0.8819062280042108","6360.0","1674236700000.0","1674243060000.0"
"6af426d9-b696-4864-97a5-7bd1db78bb91","FractalGeneticOptimization","BTC-USDT","Binance","short","22285.87","22584.620430347382","0.377","16.916174892240964","8401.77299","-129.5450871332045","-1.5418779737014117","2760.0","1674250200000.0","1674252960000.0"
"8f425b81-fa60-4852-abbd-5387f9611188","FractalGeneticOptimization","BTC-USDT","Binance","short","22648.960000000003","22948.30114339288","0.366","16.688597578481797","8289.51936","-126.24745606027503","-1.5229767924720188","36960.0","1674256500000.0","1674293460000.0"
"73dbdc65-cf5f-4f77-bdb7-fb7415c9807b","FractalGeneticOptimization","BTC-USDT","Binance","short","22918.23","23194.043505219783","0.356","16.415969367858242","8158.88988","-114.60557722610102","-1.4046712103203558","5460.0","1674308700000.0","1674314160000.0"
"1572c069-da1f-468d-9068-f87292efb0f0","FractalGeneticOptimization","BTC-USDT","Binance","short","23130.39","22689.411797102013","0.348","15.945291025391501","8049.375719999999","137.51512358310768","1.7083948913134805","18060.0","1674324900000.0","1674342960000.0"
"ed71508f-14d0-47de-955a-f87f4bfe948c","FractalGeneticOptimization","BTC-USDT","Binance","long","22745.62","22503.122445281755","0.36","16.289547280301427","8188.423199999999","-103.58866697886924","-1.265062447906567","58560.0","1674359100000.0","1674417660000.0"
"c44bd8ba-71cf-46d8-aa35-4beb6b333215","FractalGeneticOptimization","BTC-USDT","Binance","short","22561.05","22776.258029353976","0.358","16.23075627450872","8076.8559","-93.27523078323235","-1.154845795667004","5460.0","1674427500000.0","1674432960000.0"
"cf019613-d3e3-4f13-8f0d-a19ebb6a56db","FractalGeneticOptimization","BTC-USDT","Binance","long","22743.45","22993.304992898833","0.352","16.099337757500386","8005.694399999999","71.84961974288856","0.8974814195116986","44160.0","1674441000000.0","1674485160000.0"
"57beb3c4-783f-4d3b-904d-ba2d4c066519","FractalGeneticOptimization","BTC-USDT","Binance","short","22811.38","23060.570531529454","0.354","16.238670488161425","8075.22852","-104.45211864958793","-1.2934880838466716","4560.0","1674491400000.0","1674495960000.0"
"28ee81a5-472f-4143-9087-936844d24766","FractalGeneticOptimization","BTC-USDT","Binance","short","23110.1","22771.443873001703","0.345","15.829132636185587","7972.984499999999","101.00723117822645","1.266868525559362","2760.0","1674499500000.0","1674502260000.0"
"089ec5ea-6fd6-42f2-837a-8786f214c36b","FractalGeneticOptimization","BTC-USDT","Binance","short","22925.32","23132.054375665946","0.352","16.212195780234413","8069.71264","-88.9826960146476","-1.1026749028655325","11760.0","1674514800000.0","1674526560000.0"
"dc07cda7-04c2-4624-8860-0ed92d9535c2","FractalGeneticOptimization","BTC-USDT","Binance","short","23085.46","22845.409065469576","0.346","15.892080696652473","7987.569159999999","67.16554265087407","0.840875882330064","22560.0","1674528300000.0","1674550860000.0"
"c8b02a8a-794b-4d57-8a43-90d3945b8820","FractalGeneticOptimization","BTC-USDT","Binance","long","22884.56","22739.959219581127","0.351","16.014206246072973","8032.48056","-66.7690801730977","-0.8312386151993092","15360.0","1674555300000.0","1674570660000.0"
"0eba7f26-6c82-443a-9145-547378257766","FractalGeneticOptimization","BTC-USDT","Binance","long","22909.91","22718.967903018274","0.348","15.87884951025036","7972.648679999999","-82.32669925989087","-1.0326141607921806","24360.0","1674574200000.0","1674598560000.0"
"4b515306-111d-4bf8-a65d-ae258ed825f0","FractalGeneticOptimization","BTC-USDT","Binance","long","22639.46","22416.521837139633","0.349","15.72453766116173","7901.171539999999","-93.52995649942946","-1.1837479546663465","3660.0","1674605700000.0","1674609360000.0"
"59bfd178-03ee-428b-9fd8-158531d2ed1d","FractalGeneticOptimization","BTC-USDT","Binance","long","22490.64","22864.768054956017","0.347","15.738326595069736","7804.252079999999","114.08410847466845","1.4618198810752467","64860.0","1674612000000.0","1674676860000.0"
"4dd4050b-1f41-4ef8-865a-06c16464a572","FractalGeneticOptimization","BTC-USDT","Binance","short","23060.94","23450.802994116075","0.343","15.953527846981816","7909.90242","-149.67653482879595","-1.8922677788077689","158460.0","1674691200000.0","1674849660000.0"
"c3cfe0d2-3338-43a1-bba7-e287e8e97339","FractalGeneticOptimization","BTC-USDT","Binance","short","23108.82","23319.07478772056","0.337","15.64620054346183","7787.67234","-86.50206400529109","-1.1107563367938396","101760.0","1674853200000.0","1674954960000.0"
"cfa0e054-d365-42e9-966a-f6e21b6f75b0","FractalGeneticOptimization","BTC-USDT","Binance","short","23232.32","23389.790396483924","0.331","15.43191854123618","7689.89792","-67.55461977741521","-0.8784852605353598","28860.0","1674957600000.0","1674986460000.0"
"63ebc209-f8b3-4048-9f7d-826ff69190ce","FractalGeneticOptimization","BTC-USDT","Binance","short","23417.56","23560.037166982238","0.326","15.31469667643621","7634.124560000001","-61.76225311264537","-0.8090286270184379","960.0","1674989100000.0","1674990060000.0"
"a2c90320-fb1b-45e6-a51b-c0f79cf7b0b1","FractalGeneticOptimization","BTC-USDT","Binance","short","23565.43","23742.33531401783","0.321","15.185792665799724","7564.50303","-71.97239846552296","-0.951449132614373","17160.0","1674999900000.0","1675017060000.0"
"d142b085-a257-4f33-9f84-5edca61255ae","FractalGeneticOptimization","BTC-USDT","Binance","short","23784.78","23483.988277586468","0.316","14.936930775717324","7515.9904799999995","80.1132535069584","1.065904137586912","45960.0","1675023300000.0","1675069260000.0"
"e9814467-55dc-4199-af46-f25181f21ef2","FractalGeneticOptimization","BTC-USDT","Binance","long","23279.52","23092.08693353401","0.326","15.117143860332089","7589.12352","-76.22032352824488","-1.0043363153515372","3660.0","1675074600000.0","1675078260000.0"
"8523ec1e-a561-4164-bba2-937d6bd69ab7","FractalGeneticOptimization","BTC-USDT","Binance","long","23117.53","22905.655405910587","0.325","14.957535256920941","7513.19725","-83.81677833597965","-1.11559400807665","20760.0","1675084500000.0","1675105260000.0"
"c84fd516-85a9-44ff-a359-e98bcd625d1e","FractalGeneticOptimization","BTC-USDT","Binance","long","22758.42","22530.629020685144","0.327","14.809519029764042","7442.003339999999","-89.29716926572122","-1.1999076752056554","8160.0","1675109700000.0","1675117860000.0"
"59dc42e8-ccc1-49c9-861d-e8070c12e5fc","FractalGeneticOptimization","BTC-USDT","Binance","long","22729.81","23049.13019580565","0.323","14.786597683245226","7341.7286300000005","88.35382556197936","1.2034471718410458","52260.0","1675119600000.0","1675171860000.0"
