id,strategy_name,symbol,exchange,type,entry_price,exit_price,qty,opened_at,closed_at,fee,size,PNL,PNL_percentage,holding_period,orders
a245d598-52e9-49e1-8c83-25968e1c74d1,FractalGeneticOptimization,BTC-USDT,Binance,long,29122.029999999995,29270.198722399957,0.103,1691053200000.0,1691073060000.0,6.014399558407195,2999.5690899999995,9.246978848788844,0.30827690816046,19860.0,"[{'id': '3de0e3f0-07c9-4ca3-bd4c-49f7df4a104e', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'buy', 'type': 'MARKET', 'qty': 0.103, 'filled_qty': 0, 'price': 29122.03, 'status': 'EXECUTED', 'created_at': 1691053200000.0, 'canceled_at': None, 'executed_at': 1691053200000.0}, {'id': '3dce3f8d-9356-4693-9d36-0f1dcf439f70', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'sell', 'type': 'LIMIT', 'qty': -0.103, 'filled_qty': 0, 'price': 29270.198722399957, 'status': 'EXECUTED', 'created_at': 1691053200000.0, 'canceled_at': None, 'executed_at': 1691073060000.0}]"
37b0947b-ddf0-41a5-b39a-9e5f5809c4a0,FractalGeneticOptimization,BTC-USDT,Binance,short,29250.66,29063.389977498937,0.103,1691084700000.0,1691173860000.0,6.006347147682391,3012.81798,13.282465169927104,0.4408651720117226,89160.0,"[{'id': 'a7212407-016b-4d45-a656-7ee5564c21d4', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'sell', 'type': 'MARKET', 'qty': -0.103, 'filled_qty': 0, 'price': 29250.66, 'status': 'EXECUTED', 'created_at': 1691084700000.0, 'canceled_at': None, 'executed_at': 1691084700000.0}, {'id': '79bf7fea-bc96-4f94-988b-e6f9400fc1d5', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'buy', 'type': 'LIMIT', 'qty': 0.103, 'filled_qty': 0, 'price': 29063.389977498937, 'status': 'EXECUTED', 'created_at': 1691084700000.0, 'canceled_at': None, 'executed_at': 1691173860000.0}]"
c577d7aa-70a4-4ced-8445-e969699633f0,FractalGeneticOptimization,BTC-USDT,Binance,long,29053.65,28949.847343168207,0.104,1691177400000.0,1691181960000.0,6.032363723689493,3021.5796,-16.827840034196132,-0.5569219501679231,4560.0,"[{'id': '45ca7c6f-3b04-46b3-a871-b76bd6099271', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'buy', 'type': 'MARKET', 'qty': 0.104, 'filled_qty': 0, 'price': 29053.65, 'status': 'EXECUTED', 'created_at': 1691177400000.0, 'canceled_at': None, 'executed_at': 1691177400000.0}, {'id': 'da2bd3bb-edbe-4766-9523-a411bc0aead6', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'sell', 'type': 'STOP', 'qty': -0.104, 'filled_qty': 0, 'price': 28949.847343168207, 'status': 'EXECUTED', 'created_at': 1691177400000.0, 'canceled_at': None, 'executed_at': 1691181960000.0}]"
549cf5d2-3f2d-4fe7-9089-acdfd5be9c6b,FractalGeneticOptimization,BTC-USDT,Binance,short,29031.77,29161.930583508572,0.104,1691185500000.0,1691354760000.0,6.0521448606848915,3019.30408,-19.58884554557638,-0.648786774254827,169260.0,"[{'id': '8ec0d570-f58f-404e-839c-7715cda2abbc', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'sell', 'type': 'MARKET', 'qty': -0.104, 'filled_qty': 0, 'price': 29031.77, 'status': 'EXECUTED', 'created_at': 1691185500000.0, 'canceled_at': None, 'executed_at': 1691185500000.0}, {'id': '5e9e8432-f397-4ce4-8c4d-4527467f8e7c', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'buy', 'type': 'STOP', 'qty': 0.104, 'filled_qty': 0, 'price': 29161.930583508572, 'status': 'EXECUTED', 'created_at': 1691185500000.0, 'canceled_at': None, 'executed_at': 1691354760000.0}]"
fc414f19-8b68-458d-bc88-f6967906658a,FractalGeneticOptimization,BTC-USDT,Binance,long,29130.019999999997,29057.47513873505,0.103,1691361000000.0,1691368260000.0,5.993311999289709,3000.3920599999997,-13.465432709579066,-0.44878910623363893,7260.0,"[{'id': '57543f3c-89da-4461-8877-7667d289fe96', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'buy', 'type': 'MARKET', 'qty': 0.103, 'filled_qty': 0, 'price': 29130.02, 'status': 'EXECUTED', 'created_at': 1691361000000.0, 'canceled_at': None, 'executed_at': 1691361000000.0}, {'id': '49d1cc3d-271d-45a8-aed4-a88c5ea03d32', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'sell', 'type': 'STOP', 'qty': -0.103, 'filled_qty': 0, 'price': 29057.475138735055, 'status': 'EXECUTED', 'created_at': 1691361000000.0, 'canceled_at': None, 'executed_at': 1691368260000.0}]"
9430d00e-5c4d-4b28-978c-737ca4812965,FractalGeneticOptimization,BTC-USDT,Binance,short,29145.45,29046.486069943807,0.102,1691386200000.0,1691398860000.0,5.935577479134269,2972.8359,4.1587433865975125,0.13989145470819672,12660.0,"[{'id': 'd3977ea4-216c-40c4-af54-abb88ba83e00', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'sell', 'type': 'MARKET', 'qty': -0.102, 'filled_qty': 0, 'price': 29145.45, 'status': 'EXECUTED', 'created_at': 1691386200000.0, 'canceled_at': None, 'executed_at': 1691386200000.0}, {'id': '30a0f55f-de22-4333-a096-fab4a9138e37', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'buy', 'type': 'LIMIT', 'qty': 0.102, 'filled_qty': 0, 'price': 29046.486069943807, 'status': 'EXECUTED', 'created_at': 1691386200000.0, 'canceled_at': None, 'executed_at': 1691398860000.0}]"
0ebda243-83a3-46ed-be1e-34852863f638,FractalGeneticOptimization,BTC-USDT,Binance,short,28905.81,29060.185151739708,0.103,1691429400000.0,1691431260000.0,5.9704975006291905,2977.29843,-21.871138129818988,-0.7345967710001778,1860.0,"[{'id': 'eeb5022f-54d8-447b-9475-9b349e7e8b73', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'sell', 'type': 'MARKET', 'qty': -0.103, 'filled_qty': 0, 'price': 28905.81, 'status': 'EXECUTED', 'created_at': 1691429400000.0, 'canceled_at': None, 'executed_at': 1691429400000.0}, {'id': '469cbeca-a543-42e1-aed4-8b6bc8fb835f', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'buy', 'type': 'STOP', 'qty': 0.103, 'filled_qty': 0, 'price': 29060.185151739708, 'status': 'EXECUTED', 'created_at': 1691429400000.0, 'canceled_at': None, 'executed_at': 1691431260000.0}]"
8507ced2-0e8a-4670-9b54-46c841d23dc1,FractalGeneticOptimization,BTC-USDT,Binance,short,29174.01,29280.00210347519,0.101,1691450100000.0,1691471760000.0,5.903855222450995,2946.57501,-16.60905767344552,-0.5636733365713815,21660.0,"[{'id': '3fdd5076-107c-45ad-b93f-f02fe1d1f580', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'sell', 'type': 'MARKET', 'qty': -0.101, 'filled_qty': 0, 'price': 29174.01, 'status': 'EXECUTED', 'created_at': 1691450100000.0, 'canceled_at': None, 'executed_at': 1691450100000.0}, {'id': '1c416c4a-c764-4eed-81ca-29e4898ac29c', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'buy', 'type': 'STOP', 'qty': 0.101, 'filled_qty': 0, 'price': 29280.00210347519, 'status': 'EXECUTED', 'created_at': 1691450100000.0, 'canceled_at': None, 'executed_at': 1691471760000.0}]"
57070932-2cf3-4446-9668-a68cffb3e260,FractalGeneticOptimization,BTC-USDT,Binance,short,29230.0,29292.327875279658,0.101,1691478900000.0,1691491560000.0,5.910755115403246,2952.23,-12.205870518648679,-0.41344578568230383,12660.0,"[{'id': 'debb9ec2-691d-4308-a1d1-7cbe60a5abcd', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'sell', 'type': 'MARKET', 'qty': -0.101, 'filled_qty': 0, 'price': 29230.0, 'status': 'EXECUTED', 'created_at': 1691478900000.0, 'canceled_at': None, 'executed_at': 1691478900000.0}, {'id': '3eb0eff1-8979-486e-8593-c8c927af361c', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'buy', 'type': 'STOP', 'qty': 0.101, 'filled_qty': 0, 'price': 29292.32787527966, 'status': 'EXECUTED', 'created_at': 1691478900000.0, 'canceled_at': None, 'executed_at': 1691491560000.0}]"
28009aff-b7af-4e35-b2cf-27c1bad2e9cb,FractalGeneticOptimization,BTC-USDT,Binance,short,29494.01,29626.81391192142,0.099,1691501400000.0,1691511360000.0,5.852961567280221,2919.90699,-19.00054884750107,-0.650724455010845,9960.0,"[{'id': 'dea63692-230d-462b-a23d-8f3ae359915e', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'sell', 'type': 'MARKET', 'qty': -0.099, 'filled_qty': 0, 'price': 29494.01, 'status': 'EXECUTED', 'created_at': 1691501400000.0, 'canceled_at': None, 'executed_at': 1691501400000.0}, {'id': '5a46a599-cb7d-4e11-adde-8765678861cf', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'buy', 'type': 'STOP', 'qty': 0.099, 'filled_qty': 0, 'price': 29626.81391192142, 'status': 'EXECUTED', 'created_at': 1691501400000.0, 'canceled_at': None, 'executed_at': 1691511360000.0}]"
da82bba5-c9e1-4c33-87ca-e004fca0dbcc,FractalGeneticOptimization,BTC-USDT,Binance,short,29777.09,29938.961527100997,0.098,1691514900000.0,1691518560000.0,5.852173049655898,2918.15482,-21.715582705553594,-0.7441545786646643,3660.0,"[{'id': '1601b424-79e0-4656-a2f9-8997945bd471', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'sell', 'type': 'MARKET', 'qty': -0.098, 'filled_qty': 0, 'price': 29777.09, 'status': 'EXECUTED', 'created_at': 1691514900000.0, 'canceled_at': None, 'executed_at': 1691514900000.0}, {'id': '9b25d941-3684-4bd8-b881-05249c7f0096', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'buy', 'type': 'STOP', 'qty': 0.098, 'filled_qty': 0, 'price': 29938.961527100997, 'status': 'EXECUTED', 'created_at': 1691514900000.0, 'canceled_at': None, 'executed_at': 1691518560000.0}]"
8df1b8a3-31ce-49da-b2e0-17b81a637fb0,FractalGeneticOptimization,BTC-USDT,Binance,short,29869.48,30046.326647250884,0.097,1691520300000.0,1691529360000.0,5.811833244783335,2897.33956,-22.965958028119125,-0.7926567650261581,9060.0,"[{'id': '614821e3-88ae-46ec-a908-b59537e5a0fa', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'sell', 'type': 'MARKET', 'qty': -0.097, 'filled_qty': 0, 'price': 29869.48, 'status': 'EXECUTED', 'created_at': 1691520300000.0, 'canceled_at': None, 'executed_at': 1691520300000.0}, {'id': '92aa9490-d10f-46b3-b277-058ee0e471a2', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'buy', 'type': 'STOP', 'qty': 0.097, 'filled_qty': 0, 'price': 30046.326647250884, 'status': 'EXECUTED', 'created_at': 1691520300000.0, 'canceled_at': None, 'executed_at': 1691529360000.0}]"
2700751f-0c3d-4fca-897e-b70c2646d9d8,FractalGeneticOptimization,BTC-USDT,Binance,short,29911.030000000002,29624.780613309704,0.096,1691531100000.0,1691548260000.0,5.7154378188777315,2871.45888,21.764503303390946,0.7579597762998767,17160.0,"[{'id': '4b245e06-2834-48d9-a2d8-d8e177ab3493', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'sell', 'type': 'MARKET', 'qty': -0.096, 'filled_qty': 0, 'price': 29911.03, 'status': 'EXECUTED', 'created_at': 1691531100000.0, 'canceled_at': None, 'executed_at': 1691531100000.0}, {'id': '96f28a30-cbb6-4238-8d2c-5a44a21b667d', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'buy', 'type': 'LIMIT', 'qty': 0.096, 'filled_qty': 0, 'price': 29624.780613309704, 'status': 'EXECUTED', 'created_at': 1691531100000.0, 'canceled_at': None, 'executed_at': 1691548260000.0}]"
798b2949-b89d-4dc7-93ff-957f20628c9b,FractalGeneticOptimization,BTC-USDT,Binance,long,29762.1,29913.19891452803,0.097,1691557200000.0,1691578860000.0,5.7885039947092185,2886.9237,8.868090714509961,0.3071813333518292,21660.0,"[{'id': '929e66b8-e9fc-4c23-b03c-b217f29b45b8', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'buy', 'type': 'MARKET', 'qty': 0.097, 'filled_qty': 0, 'price': 29762.1, 'status': 'EXECUTED', 'created_at': 1691557200000.0, 'canceled_at': None, 'executed_at': 1691557200000.0}, {'id': '95fc99f3-82f4-40f5-8940-5fd11de6d4e4', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'sell', 'type': 'LIMIT', 'qty': -0.097, 'filled_qty': 0, 'price': 29913.198914528035, 'status': 'EXECUTED', 'created_at': 1691557200000.0, 'canceled_at': None, 'executed_at': 1691578860000.0}]"
18a23f38-8628-4e40-91c6-7a8926e7a88b,FractalGeneticOptimization,BTC-USDT,Binance,short,29886.56,29971.520265914187,0.097,1691584200000.0,1691584260000.0,5.806233785793677,2898.99632,-14.04737957946968,-0.48456010387311155,60.0,"[{'id': 'e998d038-3bba-4ef4-9b61-f78db4b01886', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'sell', 'type': 'MARKET', 'qty': -0.097, 'filled_qty': 0, 'price': 29886.56, 'status': 'EXECUTED', 'created_at': 1691584200000.0, 'canceled_at': None, 'executed_at': 1691584200000.0}, {'id': 'da2bbf16-f10d-492c-8257-f2867cfbad10', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'buy', 'type': 'STOP', 'qty': 0.097, 'filled_qty': 0, 'price': 29971.520265914187, 'status': 'EXECUTED', 'created_at': 1691584200000.0, 'canceled_at': None, 'executed_at': 1691584260000.0}]"
e37fd0cf-1463-4802-8c29-62d7b0caffb5,FractalGeneticOptimization,BTC-USDT,Binance,short,29964.899999999998,29777.812771184854,0.096,1691587800000.0,1691592360000.0,5.735300426033746,2876.6304,12.225073540220084,0.42497894551278065,4560.0,"[{'id': 'd6d1ebc1-2c94-490b-8905-e525d6518b60', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'sell', 'type': 'MARKET', 'qty': -0.096, 'filled_qty': 0, 'price': 29964.9, 'status': 'EXECUTED', 'created_at': 1691587800000.0, 'canceled_at': None, 'executed_at': 1691587800000.0}, {'id': '53665cb1-3727-4b2c-b612-cb58a3cdd068', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'buy', 'type': 'LIMIT', 'qty': 0.096, 'filled_qty': 0, 'price': 29777.812771184854, 'status': 'EXECUTED', 'created_at': 1691587800000.0, 'canceled_at': None, 'executed_at': 1691592360000.0}]"
c7626b10-b742-4778-af74-a7d2d16659a6,FractalGeneticOptimization,BTC-USDT,Binance,long,29495.0,29706.625094693158,0.098,1691613900000.0,1691676060000.0,5.80175925927993,2890.51,14.93750002064953,0.516777316828156,62160.0,"[{'id': 'f782e7e9-5003-42d3-a7ee-e464da5e48f9', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'buy', 'type': 'MARKET', 'qty': 0.098, 'filled_qty': 0, 'price': 29495.0, 'status': 'EXECUTED', 'created_at': 1691613900000.0, 'canceled_at': None, 'executed_at': 1691613900000.0}, {'id': 'b6fd56ec-a6dd-4d0a-86a2-c0d5b94bf63a', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'sell', 'type': 'LIMIT', 'qty': -0.098, 'filled_qty': 0, 'price': 29706.625094693158, 'status': 'EXECUTED', 'created_at': 1691613900000.0, 'canceled_at': None, 'executed_at': 1691676060000.0}]"
9729a2b5-4857-4c28-b0ec-c56d66fc03bd,FractalGeneticOptimization,BTC-USDT,Binance,short,29419.26,29533.856793125055,0.099,1691693100000.0,1691762460000.0,5.836358562519381,2912.50674,-17.18144108189994,-0.5899193586724522,69360.0,"[{'id': '0a74a4fe-f149-4ee2-9656-7aca5b9097e0', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'sell', 'type': 'MARKET', 'qty': -0.099, 'filled_qty': 0, 'price': 29419.26, 'status': 'EXECUTED', 'created_at': 1691693100000.0, 'canceled_at': None, 'executed_at': 1691693100000.0}, {'id': '632490b0-9802-4480-8e10-4230ceda17b7', 'session_id': None, 'exchange_id': None, 'symbol': 'BTC-USDT', 'side': 'buy', 'type': 'STOP', 'qty': 0.099, 'filled_qty': 0, 'price': 29533.856793125058, 'status': 'EXECUTED', 'created_at': 1691693100000.0, 'canceled_at': None, 'executed_at': 1691762460000.0}]"
